ID,Residence_Type,ECF,Street Address,Sale_Date,Price,Type,Class,Year_Built,Square_Feet,Basement_Square_Feet,Basement_Finished_Recreation,Basement_Finished_Living,Full_Baths,Half_Baths,Price_per_sqft
C0201_02-152-047_1,Condo,C0201,1131 Alameda ,5/12/2017,210000,Ranch,C,2004,1316,0,0,0,2,0,159.57
C0201_02-152-050_2,Condo,C0201,1120 Alameda ,1/19/2018,210000,Ranch,C,2004,1316,0,0,0,2,0,159.57
C0201_02-152-068_3,Condo,C0201,1175 Alameda ,9/25/2018,212000,Ranch,C,2004,1316,0,0,0,2,0,161.09
C0201_02-152-004_4,Condo,C0201,1015 Alameda ,9/5/2018,235000,Ranch,C,2003,1457,0,0,0,2,0,161.29
C0201_02-152-033_5,Condo,C0201,1096 Alameda ,12/18/2018,226000,Ranch,C,2004,1457,0,0,0,2,0,155.11
C0201_02-152-051_6,Condo,C0201,1124 Alameda ,9/12/2017,235000,Ranch,C,2004,1457,0,0,0,2,0,161.29
C0201_02-152-058_7,Condo,C0201,1156 Alameda ,10/15/2018,216136,Ranch,C,2004,1457,0,0,0,2,0,148.34
C0201_02-152-064_8,Condo,C0201,1211 Alameda ,2/28/2018,215000,Ranch,C,2004,1457,0,0,0,2,0,147.56
C0201_02-152-024_9,Condo,C0201,1079 Alameda ,4/6/2018,236500,Ranch,C,2005,1711,0,0,0,2,0,138.22
C0201_02-152-055_10,Condo,C0201,1144 Alameda ,4/19/2017,235000,Ranch,C,2004,1711,0,0,0,2,0,137.35
C0201_02-152-073_11,Condo,C0201,1172 Alameda ,5/31/2018,235000,Ranch,C,2004,1711,0,0,0,2,0,137.35
C0202_02-153-036_12,Condo,C0202,1290 Alameda ,10/26/2017,355000,Colonial,BC,2004,2236,1569,0,0,2,1,158.77
C0202_02-153-056_13,Condo,C0202,1410 Alameda ,5/19/2017,370000,Colonial,BC,2007,2248,1569,0,0,2,1,164.59
C0202_02-153-015_14,Condo,C0202,1293 Alameda ,2/14/2019,360000,Ranch,BC,2005,1980,1963,1300,0,3,0,181.82
C0202_02-153-026_15,Condo,C0202,1322 Alameda ,12/20/2017,319900,Ranch,BC,2005,1980,1963,0,0,2,0,161.57
C0202_02-153-042_16,Condo,C0202,1337 Hollins Hall ,1/1/1900,330000,Ranch,BC,2005,1980,1963,1135,0,2,0,166.67
C0202_02-153-050_17,Condo,C0202,1377 Hollins Hall ,4/20/2017,345000,Ranch,BC,2007,1980,1963,0,0,2,0,174.24
C0202_02-153-057_18,Condo,C0202,1414 Alameda ,7/18/2017,405000,Ranch,BC,2007,1980,1963,1592,0,3,0,204.55
C0202_02-153-058_19,Condo,C0202,1382 Alameda ,2/28/2019,415000,Ranch,BC,2006,1980,1963,1592,0,3,0,209.60
C0202_02-153-065_20,Condo,C0202,1374 Alameda ,7/31/2018,385000,Ranch,BC,2005,1980,1963,0,0,2,0,194.44
C0202_02-153-082_21,Condo,C0202,1376 Hollins Hall ,5/18/2017,400000,Ranch,BC,2006,1980,1963,1592,0,3,0,202.02
C0301_03-226-091_22,Condo,C0301,796 Paint Creek ,8/15/2017,295000,Colonial,C,2004,1934,0,0,0,3,1,152.53
C0301_03-227-027_23,Condo,C0301,762 Sandalwood ,10/30/2018,280000,Colonial,C,2002,2058,0,0,0,3,1,136.05
